Region,Layout,Size,Renovation,Floor,Direction,Year,Price
南山,2室2厅,79.26平米,精装修,低层/34层,西,2008年建,500
南山,2室1厅,49.13平米,普通装修,高层/34层,西北,2012年建,370
南山,5室2厅,242.19平米,精装修,低层/48层,南北,1996年建,2550
南山,5室2厅,164.42平米,精装修,低层/47层,南,2016年建,2222
南山,2室1厅,52平米,普通装修,低层/31层,北,2004年建,390
南山,5室2厅,72.18平米,精装修,高层/29层,南,2010年建,2200
南山,3室2厅,76.29平米,精装修,低层/11层,西,2003年建,696
南山,3室2厅,91.06平米,普通装修,高层/34层,南北,2007年建,670
南山,5室2厅,129.23平米,毛坯,低层/22层,南北,2016年建,910
南山,4室2厅,140.6平米,普通装修,低层/45层,南,2016年建,2000
南山,4室2厅,139.96平米,精装修,低层/30层,南,1996年建,1358
南山,3室2厅,83.01平米,精装修,高层/27层,东,2012年建,1620
南山,2室2厅,64.26平米,普通装修,中层/7层,南,1997年建,410
南山,2室2厅,89平米,精装修,中层/36层,南,2016年建,1250
南山,3室2厅,99平米,普通装修,中层/34层,南,2003年建,1400
南山,2室2厅,63.98平米,普通装修,低层/9层,西南,2003年建,600
南山,5室2厅,166平米,精装修,高层/32层,西北,2005年建,2350
南山,5室2厅,168.75平米,精装修,中层/48层,南,1996年建,1850
南山,3室2厅,91.58平米,普通装修,低层/20层,南,1997年建,510
南山,10室2厅,117平米,普通装修,高层/18层,西北,2005年建,2400
南山,2室1厅,38.65平米,精装修,低层/33层,西南,2008年建,320
南山,1室0厅,29.57平米,普通装修,高层/6层,南,1986年建,175
南山,6室2厅,232.26平米,精装修,中层/2层,北,2006年建,2600
南山,5室2厅,186.04平米,毛坯,低层/49层,南,2016年建,1850
南山,4室2厅,134.02平米,普通装修,中层/40层,西南,2015年建,1120
南山,5室2厅,176平米,精装修,高层/32层,东南,2010年建,1380
南山,1室0厅,37平米,精装修,中层/31层,北,2011年建,272
南山,3室2厅,186.04平米,精装修,中层/49层,西南,2016年建,2100
南山,4室2厅,155.18平米,精装修,低层/28层,西南,2003年建,1580
南山,5室2厅,186.75平米,精装修,中层/45层,西北,2016年建,2280
南山,3室2厅,82平米,普通装修,高层/34层,南,2015年建,620
南山,1室1厅,48.61平米,精装修,高层/17层,南,2005年建,500
南山,1室0厅,36平米,精装修,高层/8层,北,1993年建,290
南山,10室4厅,274.74平米,普通装修,低层/39层,东南,2014年建,2600
南山,4室2厅,121平米,精装修,高层/29层,南,2006年建,1550
南山,2室1厅,60.94平米,普通装修,高层/33层,东,2008年建,510
南山,3室2厅,76.97平米,精装修,中层/29层,北,2006年建,545
南山,1室1厅,37.45平米,精装修,低层/27层,西北,2008年建,330
南山,4室2厅,139.96平米,精装修,高层/30层,南,1996年建,1450
南山,2室1厅,46.17平米,普通装修,中层/32层,东,2006年建,410
南山,1室0厅,29.99平米,精装修,高层/34层,南,2013年建,228
南山,4室2厅,159.49平米,精装修,中层/45层,南,2016年建,2880
南山,3室2厅,106.99平米,精装修,低层/18层,南,2004年建,720
南山,2室2厅,80.8平米,精装修,高层/18层,南,2005年建,580
南山,5室2厅,170.1平米,精装修,低层/46层,南,2016年建,3800
南山,2室2厅,74.29平米,精装修,低层/7层,北,1997年建,490
迎晖大厦 (碧涛苑),2室1厅,80.8平米,普通装修,高层/8层,南,1980年建,550
南山,3室2厅,97.98平米,精装修,低层/18层,南,2005年建,1500
南山,3室2厅,114.9平米,精装修,中层/18层,南北,2010年建,1200
南山,9室0厅,133.18平米,普通装修,高层/34层,东南,1995年建,720
南山,2室2厅,70.58平米,普通装修,低层/28层,北,2006年建,485
南山,3室2厅,97.95平米,精装修,低层/7层,南,1995年建,655
南山,3室2厅,105.63平米,普通装修,低层/18层,南,2011年建,788
南山,8室2厅,346.8平米,精装修,高层/4层,南北,2000年建,4500
南山,5室2厅,117.13平米,普通装修,中层/18层,南北,2005年建,1480
南山,5室2厅,138平米,精装修,低层/17层,南,2000年建,1200
南山,3室2厅,122.62平米,精装修,低层/17层,北,2002年建,1200
南山,1室1厅,47.93平米,精装修,中层/33层,南,2008年建,390
南山,12室4厅,234.2平米,精装修,高层/16层,南,2006年建,1250
南山,6室2厅,201.88平米,精装修,低层/20层,南,2007年建,2980
南山,2室2厅,83.53平米,普通装修,高层/18层,西南,2011年建,900
南山,2室2厅,75.36平米,普通装修,低层/33层,北,1993年建,430
南山,2室2厅,59平米,普通装修,高层/19层,南,2002年建,468
南山,4室2厅,114平米,精装修,低层/18层,东南,2002年建,800
南山,4室2厅,136.68平米,精装修,低层/32层,东南,2015年建,1450
深圳湾壹号 (鹏瑞深圳湾壹号广场),5室3厅,207.74平米,精装修,高层/18层,东南,2014年建,16000
南山,1室1厅,38平米,普通装修,中层/7层,北,1986年建,248
海王大厦,2室1厅,103.12平米,普通装修,低层/28层,东南,1995年建,330
南山,4室2厅,106平米,普通装修,中层/18层,西南,2005年建,1550
南山,5室3厅,369.57平米,毛坯,共1层,南北,2009年建,15000
南山,5室2厅,182.98平米,精装修,高层/29层,南,2008年建,3580
南山,4室2厅,128.35平米,精装修,高层/11层,南北,2002年建,1200
南山,3室2厅,132.23平米,精装修,高层/27层,西,2010年建,1600
南山,3室2厅,63.76平米,精装修,中层/31层,西,2010年建,570
南山,3室2厅,114.66平米,精装修,低层/34层,东北,1996年建,750
南山,1室0厅,32.53平米,精装修,中层/7层,南,1989年建,240
南山,3室2厅,113.58平米,普通装修,中层/15层,东北,2004年建,695
南山,1室0厅,38平米,精装修,中层/8层,南,1990年建,180
南山,3室2厅,79.18平米,精装修,低层/33层,南,2007年建,765
南山,2室2厅,72.76平米,精装修,高层/25层,南,2001年建,640
南山,3室2厅,147.43平米,精装修,低层/36层,西南,2016年建,1860
南山,2室2厅,64.03平米,普通装修,高层/31层,东南,2012年建,635
南山,2室2厅,79平米,精装修,高层/32层,西,2003年建,450
南山,3室2厅,123.8平米,普通装修,低层/34层,北,1995年建,850
南山,2室2厅,93.19平米,普通装修,高层/32层,东南,1992年建,700
南山,3室2厅,98.97平米,精装修,低层/18层,南,2004年建,655
南山,2室1厅,60.94平米,精装修,低层/33层,东,2008年建,530
南山,6室3厅,230.11平米,普通装修,高层/31层,东南,2011年建,2850
南山,3室2厅,87.85平米,精装修,中层/29层,西,2012年建,800
南山,3室2厅,131.25平米,精装修,高层/31层,南,2003年建,1450
南山,3室2厅,111.51平米,精装修,低层/21层,西北,2003年建,1080
